Study,Run ID,Consent,Size (MB),Organism,Tissue
SRP226979,SRR10345561,public,188,Homo sapiens,liver
SRP226979,SRR10345690,public,322,Homo sapiens,liver
SRP226979,SRR10345691,public,328,Homo sapiens,liver
SRP226979,SRR10345692,public,312,Homo sapiens,liver
SRP226979,SRR10345693,public,232,Homo sapiens,liver
SRP226979,SRR10345694,public,52,Homo sapiens,liver
SRP226979,SRR10345695,public,252,Homo sapiens,liver
SRP226979,SRR10345696,public,253,Homo sapiens,liver
SRP226979,SRR10345697,public,281,Homo sapiens,liver
SRP226979,SRR10345786,public,412,Homo sapiens,liver
SRP226979,SRR10345812,public,188,Homo sapiens,liver
SRP226979,SRR10345813,public,175,Homo sapiens,liver
SRP226979,SRR10345814,public,41,Homo sapiens,liver
SRP226979,SRR10345815,public,57,Homo sapiens,liver
SRP226979,SRR10345816,public,135,Homo sapiens,liver
SRP226979,SRR10345817,public,239,Homo sapiens,liver
SRP226979,SRR10345818,public,324,Homo sapiens,liver
SRP226979,SRR10345827,public,55,Homo sapiens,liver
SRP226979,SRR10345828,public,65,Homo sapiens,liver
SRP226979,SRR10345829,public,160,Homo sapiens,liver
SRP226979,SRR10345830,public,69,Homo sapiens,liver
SRP226979,SRR10345831,public,215,Homo sapiens,liver
SRP226979,SRR10345832,public,64,Homo sapiens,liver
SRP226979,SRR10345833,public,217,Homo sapiens,liver
SRP226979,SRR10345834,public,143,Homo sapiens,liver
SRP226979,SRR10345843,public,49,Homo sapiens,liver
SRP226979,SRR10345844,public,199,Homo sapiens,liver
SRP226979,SRR10345845,public,60,Homo sapiens,liver
SRP226979,SRR10345846,public,314,Homo sapiens,liver
SRP226979,SRR10345847,public,98,Homo sapiens,liver
SRP226979,SRR10345848,public,206,Homo sapiens,liver
SRP226979,SRR10345849,public,255,Homo sapiens,liver
SRP226979,SRR10345850,public,92,Homo sapiens,liver
SRP226979,SRR10345883,public,71,Homo sapiens,liver
SRP226979,SRR10345884,public,106,Homo sapiens,liver
SRP226979,SRR10345885,public,265,Homo sapiens,liver
SRP226979,SRR10345886,public,79,Homo sapiens,liver
SRP226979,SRR10345887,public,45,Homo sapiens,liver
SRP226979,SRR10345888,public,162,Homo sapiens,liver
SRP226979,SRR10345889,public,208,Homo sapiens,liver
SRP226979,SRR10345890,public,161,Homo sapiens,liver
SRP226979,SRR10345907,public,151,Homo sapiens,liver
SRP226979,SRR10345908,public,288,Homo sapiens,liver
SRP226979,SRR10345909,public,365,Homo sapiens,liver
SRP226979,SRR10345910,public,393,Homo sapiens,liver
SRP226979,SRR10345911,public,200,Homo sapiens,liver
SRP226979,SRR10345912,public,330,Homo sapiens,liver
SRP226979,SRR10345913,public,185,Homo sapiens,liver
SRP226979,SRR10345914,public,305,Homo sapiens,liver
SRP226979,SRR10345931,public,117,Homo sapiens,liver
SRP226979,SRR10345932,public,292,Homo sapiens,liver
SRP226979,SRR10345933,public,210,Homo sapiens,liver
SRP226979,SRR10345934,public,217,Homo sapiens,liver
SRP226979,SRR10345935,public,137,Homo sapiens,liver
SRP226979,SRR10345936,public,216,Homo sapiens,liver
SRP226979,SRR10345937,public,133,Homo sapiens,liver
SRP226979,SRR10345938,public,251,Homo sapiens,liver
SRP226979,SRR10345963,public,375,Homo sapiens,liver
SRP226979,SRR10345964,public,78,Homo sapiens,liver
SRP226979,SRR10345965,public,93,Homo sapiens,liver
SRP226979,SRR10345966,public,38,Homo sapiens,liver
SRP226979,SRR10345967,public,293,Homo sapiens,liver
SRP226979,SRR10345968,public,392,Homo sapiens,liver
SRP226979,SRR10345969,public,133,Homo sapiens,liver
SRP226979,SRR10345970,public,93,Homo sapiens,liver
SRP226979,SRR10345979,public,173,Homo sapiens,liver
SRP226979,SRR10345980,public,380,Homo sapiens,liver
SRP226979,SRR10345981,public,327,Homo sapiens,liver
SRP226979,SRR10345982,public,92,Homo sapiens,liver
SRP226979,SRR10345983,public,234,Homo sapiens,liver
SRP226979,SRR10345599,public,199,Homo sapiens,liver
SRP226979,SRR10345600,public,129,Homo sapiens,liver
SRP226979,SRR10345601,public,83,Homo sapiens,liver
SRP226979,SRR10345610,public,350,Homo sapiens,liver
SRP226979,SRR10345611,public,281,Homo sapiens,liver
SRP226979,SRR10345612,public,494,Homo sapiens,liver
SRP226979,SRR10345613,public,48,Homo sapiens,liver
SRP226979,SRR10345614,public,48,Homo sapiens,liver
SRP226979,SRR10345615,public,338,Homo sapiens,liver
SRP226979,SRR10345616,public,74,Homo sapiens,liver
SRP226979,SRR10345617,public,131,Homo sapiens,liver
SRP226979,SRR10345626,public,104,Homo sapiens,liver
SRP226979,SRR10345627,public,26,Homo sapiens,liver
SRP226979,SRR10345628,public,378,Homo sapiens,liver
SRP226979,SRR10345629,public,32,Homo sapiens,liver
SRP226979,SRR10345630,public,75,Homo sapiens,liver
SRP226979,SRR10345631,public,44,Homo sapiens,liver
SRP226979,SRR10345632,public,41,Homo sapiens,liver
SRP226979,SRR10345633,public,114,Homo sapiens,liver
SRP226979,SRR10345642,public,41,Homo sapiens,liver
SRP226979,SRR10345643,public,120,Homo sapiens,liver
SRP226979,SRR10345644,public,92,Homo sapiens,liver
SRP226979,SRR10345645,public,39,Homo sapiens,liver
SRP226979,SRR10345646,public,32,Homo sapiens,liver
SRP226979,SRR10345647,public,67,Homo sapiens,liver
SRP226979,SRR10345648,public,90,Homo sapiens,liver
SRP226979,SRR10345649,public,235,Homo sapiens,liver
SRP226979,SRR10345666,public,48,Homo sapiens,liver
SRP226979,SRR10345667,public,135,Homo sapiens,liver
SRP226979,SRR10345668,public,207,Homo sapiens,liver
SRP226979,SRR10345669,public,101,Homo sapiens,liver
SRP226979,SRR10345670,public,134,Homo sapiens,liver
SRP226979,SRR10345671,public,100,Homo sapiens,liver
SRP226979,SRR10345672,public,159,Homo sapiens,liver
SRP226979,SRR10345673,public,189,Homo sapiens,liver
SRP226979,SRR10345746,public,290,Homo sapiens,liver
SRP226979,SRR10345747,public,162,Homo sapiens,liver
SRP226979,SRR10345748,public,160,Homo sapiens,liver
SRP226979,SRR10345749,public,240,Homo sapiens,liver
SRP226979,SRR10345750,public,522,Homo sapiens,liver
SRP226979,SRR10345751,public,198,Homo sapiens,liver
SRP226979,SRR10345752,public,434,Homo sapiens,liver
SRP226979,SRR10345753,public,180,Homo sapiens,liver
SRP226979,SRR10345762,public,344,Homo sapiens,liver
SRP226979,SRR10345763,public,38,Homo sapiens,liver
SRP226979,SRR10345764,public,171,Homo sapiens,liver
SRP226979,SRR10345765,public,261,Homo sapiens,liver
SRP226979,SRR10345766,public,36,Homo sapiens,liver
SRP226979,SRR10345767,public,162,Homo sapiens,liver
SRP226979,SRR10345768,public,93,Homo sapiens,liver
SRP226979,SRR10345769,public,73,Homo sapiens,liver
SRP226979,SRR10345770,public,564,Homo sapiens,liver
SRP226979,SRR10345771,public,67,Homo sapiens,liver
SRP226979,SRR10345772,public,292,Homo sapiens,liver
SRP226979,SRR10345773,public,162,Homo sapiens,liver
SRP226979,SRR10345774,public,97,Homo sapiens,liver
SRP226979,SRR10345775,public,102,Homo sapiens,liver
SRP226979,SRR10345776,public,147,Homo sapiens,liver
SRP226979,SRR10345777,public,174,Homo sapiens,liver
SRP226979,SRR10345811,public,54,Homo sapiens,liver
SRP226979,SRR10345562,public,20,Homo sapiens,liver
SRP226979,SRR10345563,public,298,Homo sapiens,liver
SRP226979,SRR10345564,public,44,Homo sapiens,liver
SRP226979,SRR10345565,public,122,Homo sapiens,liver
SRP226979,SRR10345566,public,253,Homo sapiens,liver
SRP226979,SRR10345567,public,33,Homo sapiens,liver
SRP226979,SRR10345568,public,53,Homo sapiens,liver
SRP226979,SRR10345569,public,37,Homo sapiens,liver
SRP226979,SRR10345570,public,238,Homo sapiens,liver
SRP226979,SRR10345571,public,553,Homo sapiens,liver
SRP226979,SRR10345572,public,193,Homo sapiens,liver
SRP226979,SRR10345573,public,351,Homo sapiens,liver
SRP226979,SRR10345574,public,159,Homo sapiens,liver
SRP226979,SRR10345575,public,43,Homo sapiens,liver
SRP226979,SRR10345576,public,316,Homo sapiens,liver
SRP226979,SRR10345577,public,521,Homo sapiens,liver
SRP226979,SRR10345586,public,115,Homo sapiens,liver
SRP226979,SRR10345587,public,253,Homo sapiens,liver
SRP226979,SRR10345588,public,24,Homo sapiens,liver
SRP226979,SRR10345589,public,412,Homo sapiens,liver
SRP226979,SRR10345590,public,36,Homo sapiens,liver
SRP226979,SRR10345591,public,221,Homo sapiens,liver
SRP226979,SRR10345592,public,167,Homo sapiens,liver
SRP226979,SRR10345593,public,40,Homo sapiens,liver
SRP226979,SRR10345594,public,34,Homo sapiens,liver
SRP226979,SRR10345595,public,102,Homo sapiens,liver
SRP226979,SRR10345596,public,55,Homo sapiens,liver
SRP226979,SRR10345597,public,387,Homo sapiens,liver
SRP226979,SRR10345598,public,134,Homo sapiens,liver
SRP228577,SRR10400224,public,5933,Homo sapiens,liver
SRP228577,SRR10400225,public,5319,Homo sapiens,liver
SRP228577,SRR10400226,public,4791,Homo sapiens,liver
SRP228577,SRR10400227,public,4703,Homo sapiens,liver
SRP228577,SRR10400228,public,4797,Homo sapiens,liver
SRP228577,SRR10400229,public,5044,Homo sapiens,liver
SRP228577,SRR10400230,public,5047,Homo sapiens,liver
SRP228577,SRR10400231,public,4884,Homo sapiens,liver
SRP228577,SRR10400232,public,4995,Homo sapiens,liver
SRP231432,SRR10517452,public,3953,Homo sapiens,liver
SRP231432,SRR10517453,public,4527,Homo sapiens,liver
SRP231432,SRR10517454,public,4122,Homo sapiens,liver
SRP231432,SRR10517455,public,3052,Homo sapiens,liver
SRP231432,SRR10517456,public,3960,Homo sapiens,liver
SRP231432,SRR10517457,public,3221,Homo sapiens,liver
SRP231432,SRR10517458,public,4192,Homo sapiens,liver
SRP231432,SRR10517459,public,6022,Homo sapiens,liver
SRP231432,SRR10517460,public,5912,Homo sapiens,liver
SRP231432,SRR10517461,public,3279,Homo sapiens,liver
SRP235450,SRR10616159,public,0,Homo sapiens,liver
SRP235450,SRR10616160,public,0,Homo sapiens,liver
SRP235450,SRR10616157,public,0,Homo sapiens,liver
SRP235450,SRR10616158,public,0,Homo sapiens,liver
SRP238929,SRR11619623,public,79,Homo sapiens,lung
SRP238929,SRR11619624,public,116,Homo sapiens,lung
SRP238929,SRR11619625,public,196,Homo sapiens,lung
SRP238929,SRR11619626,public,27,Homo sapiens,lung
SRP238929,SRR11619627,public,96,Homo sapiens,lung
SRP238929,SRR11619628,public,166,Homo sapiens,lung
SRP238929,SRR11619629,public,84,Homo sapiens,lung
SRP238929,SRR11619630,public,48,Homo sapiens,lung
SRP238929,SRR11619631,public,58,Homo sapiens,lung
SRP238929,SRR11619632,public,318,Homo sapiens,lung
SRP238929,SRR11619633,public,30,Homo sapiens,lung
SRP238929,SRR11619634,public,91,Homo sapiens,lung
SRP238929,SRR11619635,public,21,Homo sapiens,lung
SRP238929,SRR11619636,public,65,Homo sapiens,lung
SRP238929,SRR11619637,public,35,Homo sapiens,lung
SRP238929,SRR11619638,public,14,Homo sapiens,lung
SRP238929,SRR11619639,public,22,Homo sapiens,lung
SRP238929,SRR11619640,public,29,Homo sapiens,lung
SRP238929,SRR11619641,public,44,Homo sapiens,lung
SRP238929,SRR11619642,public,19,Homo sapiens,lung
SRP238929,SRR11619643,public,25,Homo sapiens,lung
SRP238929,SRR11619644,public,13,Homo sapiens,lung
SRP238929,SRR11619645,public,32,Homo sapiens,lung
SRP238929,SRR11619646,public,578,Homo sapiens,lung
SRP238929,SRR11619647,public,27,Homo sapiens,lung
SRP238929,SRR11619648,public,15,Homo sapiens,lung
SRP238929,SRR11619649,public,45,Homo sapiens,lung
SRP238929,SRR11619650,public,14,Homo sapiens,lung
SRP238929,SRR11619651,public,297,Homo sapiens,lung
SRP238929,SRR11619652,public,45,Homo sapiens,lung
SRP238929,SRR11619653,public,32,Homo sapiens,lung
SRP238929,SRR11619654,public,13,Homo sapiens,lung
SRP238929,SRR11619655,public,45,Homo sapiens,lung
SRP238929,SRR11619656,public,43,Homo sapiens,lung
SRP238929,SRR11619657,public,84,Homo sapiens,lung
SRP238929,SRR11619658,public,59,Homo sapiens,lung
SRP238929,SRR11619659,public,17,Homo sapiens,lung
SRP238929,SRR11619660,public,19,Homo sapiens,lung
SRP238929,SRR11619661,public,21,Homo sapiens,lung
SRP238929,SRR11619662,public,42,Homo sapiens,lung
SRP238929,SRR11619663,public,9,Homo sapiens,lung
SRP238929,SRR11619664,public,17,Homo sapiens,lung
SRP238929,SRR11619665,public,27,Homo sapiens,lung
SRP238929,SRR11619666,public,101,Homo sapiens,lung
SRP238929,SRR11619667,public,27,Homo sapiens,lung
SRP238929,SRR11619668,public,12,Homo sapiens,lung
SRP238929,SRR11619669,public,170,Homo sapiens,lung
SRP238929,SRR11619670,public,27,Homo sapiens,lung
SRP238929,SRR11619671,public,21,Homo sapiens,lung
SRP238929,SRR11619672,public,132,Homo sapiens,lung
SRP238929,SRR11619673,public,102,Homo sapiens,lung
SRP238929,SRR11619674,public,52,Homo sapiens,lung
SRP238929,SRR11619675,public,128,Homo sapiens,lung
SRP238929,SRR11619676,public,21,Homo sapiens,lung
SRP238929,SRR11619677,public,46,Homo sapiens,lung
SRP238929,SRR11619678,public,61,Homo sapiens,lung
SRP238929,SRR11619679,public,186,Homo sapiens,lung
SRP238929,SRR11619680,public,201,Homo sapiens,lung
SRP238929,SRR11619681,public,11,Homo sapiens,lung
SRP238929,SRR11619682,public,19,Homo sapiens,lung
SRP238929,SRR11619563,public,11,Homo sapiens,lung
SRP238929,SRR11619564,public,22,Homo sapiens,lung
SRP238929,SRR11619565,public,25,Homo sapiens,lung
SRP238929,SRR11619566,public,67,Homo sapiens,lung
SRP238929,SRR11619567,public,306,Homo sapiens,lung
SRP238929,SRR11619568,public,130,Homo sapiens,lung
SRP238929,SRR11619569,public,12,Homo sapiens,lung
SRP238929,SRR11619570,public,94,Homo sapiens,lung
SRP238929,SRR11619571,public,98,Homo sapiens,lung
SRP238929,SRR11619572,public,20,Homo sapiens,lung
SRP238929,SRR11619573,public,100,Homo sapiens,lung
SRP238929,SRR11619574,public,1378,Homo sapiens,lung
SRP238929,SRR11619575,public,62,Homo sapiens,lung
SRP238929,SRR11619576,public,202,Homo sapiens,lung
SRP238929,SRR11619577,public,19,Homo sapiens,lung
SRP238929,SRR11619578,public,60,Homo sapiens,lung
SRP238929,SRR11619579,public,66,Homo sapiens,lung
SRP238929,SRR11619580,public,47,Homo sapiens,lung
SRP238929,SRR11619581,public,55,Homo sapiens,lung
SRP238929,SRR11619582,public,25,Homo sapiens,lung
SRP238929,SRR11619583,public,48,Homo sapiens,lung
SRP238929,SRR11619584,public,82,Homo sapiens,lung
SRP238929,SRR11619585,public,23,Homo sapiens,lung
SRP238929,SRR11619586,public,121,Homo sapiens,lung
SRP238929,SRR11619587,public,46,Homo sapiens,lung
SRP238929,SRR11619588,public,68,Homo sapiens,lung
SRP238929,SRR11619589,public,53,Homo sapiens,lung
SRP238929,SRR11619590,public,13,Homo sapiens,lung
SRP238929,SRR11619591,public,165,Homo sapiens,lung
SRP238929,SRR11619592,public,62,Homo sapiens,lung
SRP238929,SRR11619593,public,92,Homo sapiens,lung
SRP238929,SRR11619594,public,90,Homo sapiens,lung
SRP238929,SRR11619595,public,62,Homo sapiens,lung
SRP238929,SRR11619596,public,55,Homo sapiens,lung
SRP238929,SRR11619597,public,111,Homo sapiens,lung
SRP238929,SRR11619598,public,87,Homo sapiens,lung
SRP238929,SRR11619599,public,72,Homo sapiens,lung
SRP238929,SRR11619600,public,288,Homo sapiens,lung
SRP238929,SRR11619601,public,149,Homo sapiens,lung
SRP238929,SRR11619602,public,161,Homo sapiens,lung
SRP238929,SRR11619603,public,358,Homo sapiens,lung
SRP238929,SRR11619604,public,13,Homo sapiens,lung
SRP238929,SRR11619605,public,143,Homo sapiens,lung
SRP238929,SRR11619606,public,44,Homo sapiens,lung
SRP238929,SRR11619607,public,47,Homo sapiens,lung
SRP238929,SRR11619608,public,181,Homo sapiens,lung
SRP238929,SRR11619609,public,10,Homo sapiens,lung
SRP238929,SRR11619610,public,32,Homo sapiens,lung
SRP238929,SRR11619611,public,29,Homo sapiens,lung
SRP238929,SRR11619612,public,254,Homo sapiens,lung
SRP238929,SRR11619613,public,147,Homo sapiens,lung
SRP238929,SRR11619614,public,114,Homo sapiens,lung
SRP238929,SRR11619615,public,17,Homo sapiens,lung
SRP238929,SRR11619616,public,45,Homo sapiens,lung
SRP238929,SRR11619617,public,249,Homo sapiens,lung
SRP238929,SRR11619618,public,87,Homo sapiens,lung
SRP238929,SRR11619619,public,26,Homo sapiens,lung
SRP238929,SRR11619620,public,56,Homo sapiens,lung
SRP238929,SRR11619621,public,251,Homo sapiens,lung
SRP238929,SRR11619622,public,57,Homo sapiens,lung
SRP238929,SRR11619555,public,32,Homo sapiens,lung
SRP238929,SRR11619556,public,24,Homo sapiens,lung
SRP238929,SRR11619557,public,20,Homo sapiens,lung
SRP238929,SRR11619558,public,325,Homo sapiens,lung
SRP238929,SRR11619559,public,48,Homo sapiens,lung
SRP238929,SRR11619560,public,52,Homo sapiens,lung
SRP238929,SRR11619561,public,33,Homo sapiens,lung
SRP238929,SRR11619562,public,24,Homo sapiens,lung
SRP238929,SRR11618654,public,14,Homo sapiens,lung
SRP238929,SRR11618655,public,77,Homo sapiens,lung
SRP238929,SRR11618656,public,17,Homo sapiens,lung
SRP238929,SRR11618657,public,90,Homo sapiens,lung
SRP238929,SRR11618658,public,92,Homo sapiens,lung
SRP238929,SRR11618659,public,138,Homo sapiens,lung
SRP238929,SRR11618740,public,55,Homo sapiens,lung
SRP238929,SRR11618741,public,27,Homo sapiens,lung
SRP238929,SRR11618742,public,112,Homo sapiens,lung
SRP238929,SRR11618743,public,17,Homo sapiens,lung
SRP238929,SRR11618744,public,74,Homo sapiens,lung
SRP238929,SRR11618745,public,114,Homo sapiens,lung
SRP238929,SRR11618746,public,60,Homo sapiens,lung
SRP238929,SRR11618747,public,95,Homo sapiens,lung
SRP238929,SRR11618748,public,14,Homo sapiens,lung
SRP238929,SRR11618749,public,68,Homo sapiens,lung
SRP238929,SRR11618750,public,129,Homo sapiens,lung
SRP238929,SRR11618751,public,28,Homo sapiens,lung
SRP238929,SRR11618752,public,116,Homo sapiens,lung
SRP238929,SRR11618753,public,97,Homo sapiens,lung
SRP238929,SRR11618754,public,53,Homo sapiens,lung
SRP238929,SRR11618755,public,61,Homo sapiens,lung
SRP238929,SRR11618756,public,18,Homo sapiens,lung
SRP238929,SRR11618757,public,10,Homo sapiens,lung
SRP238929,SRR11618758,public,115,Homo sapiens,lung
SRP238929,SRR11618759,public,134,Homo sapiens,lung
SRP238929,SRR11618760,public,58,Homo sapiens,lung
SRP238929,SRR11618761,public,43,Homo sapiens,lung
SRP238929,SRR11618762,public,59,Homo sapiens,lung
SRP238929,SRR11618763,public,67,Homo sapiens,lung
SRP238929,SRR11618764,public,18,Homo sapiens,lung
SRP238929,SRR11618765,public,130,Homo sapiens,lung
SRP238929,SRR11618766,public,16,Homo sapiens,lung
SRP238929,SRR11618767,public,88,Homo sapiens,lung
SRP238929,SRR11618768,public,117,Homo sapiens,lung
SRP238929,SRR11618769,public,156,Homo sapiens,lung
SRP238929,SRR11618770,public,46,Homo sapiens,lung
SRP238929,SRR11618771,public,54,Homo sapiens,lung
SRP238929,SRR11618772,public,31,Homo sapiens,lung
SRP238929,SRR11618773,public,99,Homo sapiens,lung
SRP238929,SRR11618774,public,189,Homo sapiens,lung
SRP238929,SRR11618775,public,291,Homo sapiens,lung
SRP238929,SRR11618776,public,99,Homo sapiens,lung
SRP238929,SRR11618777,public,74,Homo sapiens,lung
SRP238929,SRR11618778,public,83,Homo sapiens,lung
SRP238929,SRR11618779,public,91,Homo sapiens,lung
SRP238929,SRR11618780,public,12,Homo sapiens,lung
SRP238929,SRR11618781,public,108,Homo sapiens,lung
SRP238929,SRR11618782,public,23,Homo sapiens,lung
SRP238929,SRR11618783,public,91,Homo sapiens,lung
SRP238929,SRR11618784,public,109,Homo sapiens,lung
SRP238929,SRR11618785,public,40,Homo sapiens,lung
SRP238929,SRR11619507,public,41,Homo sapiens,lung
SRP238929,SRR11619508,public,163,Homo sapiens,lung
SRP238929,SRR11619509,public,72,Homo sapiens,lung
SRP238929,SRR11619510,public,75,Homo sapiens,lung
SRP238929,SRR11619511,public,12,Homo sapiens,lung
SRP238929,SRR11619512,public,280,Homo sapiens,lung
SRP238929,SRR11619513,public,81,Homo sapiens,lung
SRP238929,SRR11619514,public,32,Homo sapiens,lung
SRP238929,SRR11619515,public,86,Homo sapiens,lung
SRP238929,SRR11619516,public,25,Homo sapiens,lung
SRP238929,SRR11619517,public,20,Homo sapiens,lung
SRP238929,SRR11619518,public,12,Homo sapiens,lung
SRP238929,SRR11619519,public,66,Homo sapiens,lung
SRP238929,SRR11619520,public,51,Homo sapiens,lung
SRP238929,SRR11619521,public,32,Homo sapiens,lung
SRP238929,SRR11619522,public,176,Homo sapiens,lung
SRP238929,SRR11619523,public,18,Homo sapiens,lung
SRP238929,SRR11619524,public,25,Homo sapiens,lung
SRP238929,SRR11619525,public,61,Homo sapiens,lung
SRP238929,SRR11619526,public,114,Homo sapiens,lung
SRP238929,SRR11619527,public,116,Homo sapiens,lung
SRP238929,SRR11619528,public,346,Homo sapiens,lung
SRP238929,SRR11619529,public,29,Homo sapiens,lung
SRP238929,SRR11619530,public,86,Homo sapiens,lung
SRP238929,SRR11619531,public,21,Homo sapiens,lung
SRP238929,SRR11619532,public,17,Homo sapiens,lung
SRP238929,SRR11619533,public,121,Homo sapiens,lung
SRP238929,SRR11619534,public,109,Homo sapiens,lung
SRP238929,SRR11619535,public,48,Homo sapiens,lung
SRP238929,SRR11619536,public,16,Homo sapiens,lung
SRP238929,SRR11619537,public,112,Homo sapiens,lung
SRP238929,SRR11619538,public,30,Homo sapiens,lung
SRP238929,SRR11619539,public,1022,Homo sapiens,lung
SRP238929,SRR11619540,public,19,Homo sapiens,lung
SRP238929,SRR11619541,public,51,Homo sapiens,lung
SRP238929,SRR11619542,public,110,Homo sapiens,lung
SRP238929,SRR11619543,public,695,Homo sapiens,lung
SRP238929,SRR11619544,public,45,Homo sapiens,lung
SRP238929,SRR11619545,public,12,Homo sapiens,lung
SRP238929,SRR11619546,public,16,Homo sapiens,lung
SRP238929,SRR11619547,public,35,Homo sapiens,lung
SRP238929,SRR11619548,public,109,Homo sapiens,lung
SRP238929,SRR11619549,public,86,Homo sapiens,lung
SRP238929,SRR11619550,public,27,Homo sapiens,lung
SRP238929,SRR11619551,public,120,Homo sapiens,lung
SRP238929,SRR11619552,public,704,Homo sapiens,lung
SRP238929,SRR11619553,public,19,Homo sapiens,lung
SRP238929,SRR11619554,public,101,Homo sapiens,lung
SRP238929,SRR11618642,public,53,Homo sapiens,lung
SRP238929,SRR11618643,public,128,Homo sapiens,lung
SRP238929,SRR11618644,public,30,Homo sapiens,lung
SRP238929,SRR11618645,public,330,Homo sapiens,lung
SRP238929,SRR11618646,public,228,Homo sapiens,lung
SRP238929,SRR11618647,public,37,Homo sapiens,lung
SRP238929,SRR11618648,public,45,Homo sapiens,lung
SRP238929,SRR11618649,public,44,Homo sapiens,lung
SRP238929,SRR11618650,public,57,Homo sapiens,lung
SRP238929,SRR11618651,public,44,Homo sapiens,lung
SRP238929,SRR11618652,public,107,Homo sapiens,lung
SRP238929,SRR11618653,public,79,Homo sapiens,lung
SRP238929,SRR11619447,public,646,Homo sapiens,lung
SRP238929,SRR11619448,public,23,Homo sapiens,lung
SRP238929,SRR11619449,public,237,Homo sapiens,lung
SRP238929,SRR11619450,public,175,Homo sapiens,lung
SRP238929,SRR11619451,public,1616,Homo sapiens,lung
SRP238929,SRR11619452,public,94,Homo sapiens,lung
SRP238929,SRR11619453,public,43,Homo sapiens,lung
SRP238929,SRR11619454,public,51,Homo sapiens,lung
SRP238929,SRR11619455,public,72,Homo sapiens,lung
SRP238929,SRR11619456,public,70,Homo sapiens,lung
SRP238929,SRR11619457,public,47,Homo sapiens,lung
SRP238929,SRR11619458,public,1016,Homo sapiens,lung
SRP238929,SRR11619459,public,108,Homo sapiens,lung
SRP238929,SRR11619460,public,50,Homo sapiens,lung
SRP238929,SRR11619461,public,29,Homo sapiens,lung
SRP238929,SRR11619462,public,35,Homo sapiens,lung
SRP238929,SRR11619463,public,46,Homo sapiens,lung
SRP238929,SRR11619464,public,23,Homo sapiens,lung
SRP238929,SRR11619465,public,164,Homo sapiens,lung
SRP238929,SRR11619466,public,72,Homo sapiens,lung
SRP238929,SRR11619467,public,98,Homo sapiens,lung
SRP238929,SRR11619468,public,48,Homo sapiens,lung
SRP238929,SRR11619469,public,79,Homo sapiens,lung
SRP238929,SRR11619470,public,99,Homo sapiens,lung
SRP238929,SRR11619471,public,93,Homo sapiens,lung
SRP238929,SRR11619472,public,162,Homo sapiens,lung
SRP238929,SRR11619473,public,100,Homo sapiens,lung
SRP238929,SRR11619474,public,65,Homo sapiens,lung
SRP238929,SRR11619475,public,83,Homo sapiens,lung
SRP238929,SRR11619476,public,13,Homo sapiens,lung
SRP238929,SRR11619477,public,53,Homo sapiens,lung
SRP238929,SRR11619478,public,26,Homo sapiens,lung
SRP238929,SRR11619479,public,96,Homo sapiens,lung
SRP238929,SRR11619480,public,66,Homo sapiens,lung
SRP238929,SRR11619481,public,159,Homo sapiens,lung
SRP238929,SRR11619482,public,167,Homo sapiens,lung
SRP238929,SRR11619483,public,59,Homo sapiens,lung
SRP238929,SRR11619484,public,355,Homo sapiens,lung
SRP238929,SRR11619485,public,15,Homo sapiens,lung
SRP238929,SRR11619486,public,48,Homo sapiens,lung
SRP238929,SRR11619487,public,23,Homo sapiens,lung
SRP238929,SRR11619488,public,36,Homo sapiens,lung
SRP238929,SRR11619489,public,22,Homo sapiens,lung
SRP238929,SRR11619490,public,62,Homo sapiens,lung
SRP238929,SRR11619491,public,39,Homo sapiens,lung
SRP238929,SRR11619492,public,75,Homo sapiens,lung
SRP238929,SRR11619493,public,108,Homo sapiens,lung
SRP238929,SRR11619494,public,18,Homo sapiens,lung
SRP238929,SRR11619495,public,34,Homo sapiens,lung
SRP238929,SRR11619496,public,117,Homo sapiens,lung
SRP238929,SRR11619497,public,1115,Homo sapiens,lung
SRP238929,SRR11619498,public,14,Homo sapiens,lung
SRP238929,SRR11619499,public,179,Homo sapiens,lung
SRP238929,SRR11619500,public,59,Homo sapiens,lung
SRP238929,SRR11619501,public,192,Homo sapiens,lung
SRP238929,SRR11619502,public,270,Homo sapiens,lung
SRP238929,SRR11619503,public,38,Homo sapiens,lung
SRP238929,SRR11619504,public,271,Homo sapiens,lung
SRP238929,SRR11619505,public,81,Homo sapiens,lung
SRP238929,SRR11619506,public,128,Homo sapiens,lung
SRP238929,SRR11619427,public,167,Homo sapiens,lung
SRP238929,SRR11619428,public,29,Homo sapiens,lung
SRP238929,SRR11619429,public,209,Homo sapiens,lung
SRP238929,SRR11619430,public,27,Homo sapiens,lung
SRP238929,SRR11619431,public,20,Homo sapiens,lung
SRP238929,SRR11619432,public,117,Homo sapiens,lung
SRP238929,SRR11619433,public,23,Homo sapiens,lung
SRP238929,SRR11619434,public,985,Homo sapiens,lung
SRP238929,SRR11619435,public,99,Homo sapiens,lung
SRP238929,SRR11619436,public,18,Homo sapiens,lung
SRP238929,SRR11619437,public,17,Homo sapiens,lung
SRP238929,SRR11619438,public,174,Homo sapiens,lung
SRP238929,SRR11619439,public,23,Homo sapiens,lung
SRP238929,SRR11619440,public,68,Homo sapiens,lung
SRP238929,SRR11619441,public,97,Homo sapiens,lung
SRP238929,SRR11619442,public,418,Homo sapiens,lung
